"","Code","Team","Address","Latitude","Longitude","Date_set","Time_set","Number_traps_set","Date_collect","Time_collect","Number_rodents_caught","Number_mus_caught","Other_samples","Mice_IDs","People","Is_mus_caught"
"18","","B","Pehlitz 3 Chorin Borowin",52.909439,13.909439,"10/09/17","17:20:00",22,"11/09/17","13:40:00",0,0,NA,"","Svea, Emanuel",FALSE
"19","","A","Am Fährkrug 6, Schiffsmühle",52.807371,14.036795,"10/09/17","12:30:00",16,"11/09/17","12:30:00",1,1,NA,"","Lina, Lukas, Sven, Saskia",TRUE
"20","ERKNI","D","",52.3989,13.7581,"10/09/17","12:10:00",13,"11/09/17","12:30:00",1,1,NA,"","Robin, Cem, Alice",TRUE
"21","","D","Walther-Rathenau Str. 14",52.384336,13.7602333,"10/09/17","13:00:00",19,"11/09/17","12:30:00",1,1,NA,"","Robin, Cem, Alice",TRUE
"22","","D","Stenhöfelstr. 8, 15518 Buchholz",52.420765,14.117282,"10/09/17","15:00:00",12,"11/09/17","??",0,0,NA,"","Robin, Cem, Alice",FALSE
"23","","B","Oberberger Str. 8, 16248 Parstein",52.9319,14.03709,"10/09/17","17:30:00",25,"11/09/17","13:30:00",0,0,NA,"","Svea, Emanuel",FALSE
"24","","B","Karl-Liebknecht-Str. 4, Liepe",52.860644,13.967085,"10/09/17","19:00:00",29,"11/09/17","17:00:00",0,0,NA,"","Svea, Emanuel",FALSE
"25","","B","Borowiner Dorfstr. 14, ",52.910851,13.963747,"10/09/17","17:00:00",11,"11/09/17","14:00:00",0,0,NA,"","Svea, Emanuel",FALSE
"26","","B","Haupstr. 26, Schönfeld",52.683539,13.733388,"10/09/17","",8,"11/09/17","??",0,0,NA,"","Svea, Emanuel",FALSE
"27","","A","Reiterhof Goldnebelhof",52.788611,13.345,"10/09/17","11:00:00",24,"11/09/17","13:00:00",0,0,NA,"","Sükrü, Erik, Anna",FALSE
"28","KREUZB21","A","Kreuzbrucher Straße 21",52.84079,13.42196,"10/09/17","12:30:00",24,"11/09/17","16:00:00",1,0,NA,"","Sükrü, Erik, Anna",FALSE
"29","KREUZB2","A","Kreuzbrucher Straße 1",52.8404497,13.435423,"10/09/17","13:00:00",10,"11/09/17","16:15:00",0,0,NA,"","Sükrü, Erik, Anna",FALSE
"30","LINDH8","A","Joachimsthal Forst 8",52.994488,13.677423,"10/09/17","17:30:00",24,"11/09/17","11:00:00",4,0,NA,"","Sükrü, Erik, Anna",FALSE
"31","HAMMER1","A","Mittelweg 1",52.88,13.4392,"10/09/17","14:30:00",6,"12/09/17","12:45:00",0,0,NA,"","Sükrü, Erik, Anna",FALSE
"32","LIEBWILDPFERDE","A","Wildpferdgehege Leibenthal",52.914774,13.433735,"10/09/17","15:45:00",16,"12/09/17","13:15:00",0,0,NA,"","Sükrü, Erik, Anna",FALSE
"33","SCHORFHOF","A","Wildpark Schorfheide",52.921731,13.547089,"11/09/17","12:15:00",46,"12/09/17","16:30:00",9,9,NA,"","Sascha, Erik, Anna",TRUE
"34","REITBOESE","A","Reiterhof Böse",52.896941,13.535213,"11/09/17","13:00:00",40,"12/09/17","15:00:00",5,5,NA,"","Sascha, Erik, Anna",TRUE
"35","HAMMERKOMBI","A","",52.877944,13.445731,"11/09/17","14:30:00",36,"12/09/17","12:30:00",0,0,NA,"","Sascha, Erik, Anna",FALSE
"36","LANK16","A","Wandlizerstr. 16 16346",52.757551,13.523808,"11/09/17","17:30:00",24,"12/09/17","11:30:00",6,0,NA,"","Sascha, Erik, Anna",FALSE
"37","GIEL68","C","Alt-Gielsdorf 68, 15345",52.6053,13.8756,"11/09/17","12:13:00",14,"12/09/17","10:30:00",9,9,NA,"","Nico, Sabrina, Tabea",TRUE
"38","","D","Kiefernweg 8, 15537 Gosen-Neu Zittau",52.374656,13.777103,"11/09/17","13:35:00",10,"12/09/17","15:00:00",1,1,NA,"","Jana, Robin, Sükrü, Cem",TRUE
"39","","D","Gubhof 46",52.398664,14.100445,"11/09/17","15:10:00",20,"12/09/17","13:30:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"40","","D","Steinhöfel Buchenholzer Dorfstraße",52.424077,14.116322,"11/09/17","17:30:00",12,"12/09/17","11:50:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"41","","D","Steinhöfel Buchenholzer Dorfstraße ",52.424996,14.114678,"11/09/17","17:20:00",6,"12/09/17","14:30:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"42","","D","Buchenholzer Dorfstraße 23, 15518 Fürstenwalde",52.42666,14.11359,"11/09/17","17:00:00",24,"12/09/17","12:00:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"43","","D","Steinhöfer Chausee 5, 15518 Neundorf",52.388959,14.111142,"11/09/17","14:30:00",10,"12/09/17","13:00:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"44","","E","Dorfanger 7, 15754 Hebersee",52.242473,13.70713,"11/09/17","17:30:00",23,"12/09/17","11:00:00",2,2,NA,"","Yasmin, Mona, Mert",TRUE
"45","","D","Reitsport Münderhofe",52.496944,13.677066,"12/09/17","18:00:00",43,"13/09/17","11:45:00",4,4,NA,"","Jana, Robin, Sükrü, Cem",TRUE
"46","","D","Buchenholzer Weg 3",52.438036,14.101097,"12/09/17","12:40:00",7,"13/09/17","16:30:00",0,0,NA,"","Jana, Robin, Sükrü, Cem",FALSE
"47","","A","Wildpark Schorfheide",52.921731,13.547089,"12/09/17","16:00:00",24,"13/09/17","12:00:00",0,0,NA,"","Sascha, Erik, Anna",FALSE
"48","","A","Reiterhof Böse",52.896941,13.535213,"12/09/17","13:05:00",12,"13/09/17","11:30:00",1,1,NA,"","Sascha, Erik, Anna",TRUE
"49","","C","Siedlung 12, 16269 Wrietzen",52.712247,14.066834,"12/09/17","13:30:00",15,"13/09/17","10:45:00",0,0,NA,"","Tabea, Sabrina, Julia",FALSE
"50","","C","Alt Gaul 26b, 16269 Wriezen",52.738064,14.095413,"12/09/17","14:30:00",40,"13/09/17","11:30:00",7,7,NA,"","Tabea, Sabrina, Julia",TRUE
"51","","C","Croustillier 17, 16259 Oderaue",52.791376,14.116181,"12/09/17","16:00:00",27,"13/09/17","10:15:00",6,6,NA,"","Tabea, Sabrina, Julia",TRUE
"52","BOCK34","B","",53.1333,13.755,"12/09/17","12:44:00",22,"13/09/17","13:13:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"53","ORTB7","B","Berkenlatten",53.1406,13.7586,"12/09/17","12:02:00",12,"13/09/17","12:19:00",1,1,NA,"","Lukas, Lina, Saskia",TRUE
"54","TEMM","B","Lindenallee 3a, Alt-Temmen",53.09666,13.7555,"12/09/17","13:33:00",40,"13/09/17","11:30:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"55","","B","Hauptstr. 1, 16248 Hohenfinow",52.814205,13.924277,"12/09/17","10:00:00",53,"13/09/17","09:30:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"56","","E","Heidensee 15754 Langer See 45",52.235443,13.787984,"12/09/17","12:45:00",24,"13/09/17","11:40:00",0,0,NA,"","Yasmin, Mert",FALSE
"57","","E","Dorfplatz 1 Heidensee 15754",52.245935,13.802619,"12/09/17","13:45:00",26,"12/09/17","??",0,0,NA,"","Yasmin, Mert",FALSE
"58","","E","Alte Dorfstraße 31, 15859 Storkow",52.242982,13.867386,"12/09/17","16:00:00",24,"13/09/17","18:15:00",7,7,NA,"","Yasmin, Mert",TRUE
"59","","E","Storkow, 15859 Storkow",52.236326,13.871527,"12/09/17","??",11,"13/09/17","18:00:00",0,0,NA,"","Yasmin, Mert",FALSE
"60","","E","Neue Str. 7, 15754 Heidesee",52.217559,13.823642,"12/09/17","??",24,"13/09/17","??",0,0,NA,"","Yasmin, Mert",FALSE
"61","","F","Erste-Kolonie 39",51.830746,14.076701,"12/09/17","13:00:00",20,"13/09/17","12:00:00",1,0,NA,"","Emanuel, Sven",FALSE
"62","","F","Dübener Haupstr. 24",51.897811,13.809616,"12/09/17","09:15:00",30,"13/09/17","13:25:00",2,2,NA,"","Emanuel, Sven",TRUE
"63","","F","Neuendorfer Dorfstr. 4, 15907 Lübben",51.908938,13.859796,"12/09/17","10:00:00",30,"13/09/17","14:35:00",0,0,NA,"","Emanuel, Sven",FALSE
"64","","F","Boblitzer Spreestr. 36, Lübbenau",51.84028,13.987939,"12/09/17","11:23:00",15,"13/09/17","12:55:00",0,0,NA,"","Emanuel, Sven",FALSE
"65","","F","Radduscher Dorfstraße 15",51.817611,14.042841,"12/09/17","12:15:00",17,"13/09/17","12:30:00",0,0,NA,"","Emanuel, Sven",FALSE
"66","","E","Weg zur Mühle 29 Heidesee",52.297386,13.785319,"13/09/17","14:30:00",22,"14/09/17","11:45:00",0,0,NA,"","Yasmin, Mert",FALSE
"67","","E","Hoehanh",52.203601,13.831581,"13/09/17","16:45:00",22,"14/09/17","14:15:00",0,0,NA,"","Yasmin, Mert",FALSE
"68","","E","Spreehagenstr. 1 15754 Heidesee",52.269419,13.834069,"13/09/17","13:00:00",24,"14/09/17","??",5,2,NA,"","Yasmin, Mert",TRUE
"69","","B","",53.1406,13.7586,"13/09/17","12:25:00",9,"14/09/17","13:00:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"70","","B","Steinhöflerweg 13, 17278 Stegelitz",53.123442,13.853654,"13/09/17","13:43:00",4,"14/09/17","12:30:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"71","FLIE28","B","",53.161,13.81527,"13/09/17","13:45:00",19,"14/09/17","13:45:00",1,0,NA,"","Lukas, Lina, Saskia",FALSE
"72","","B","Feldstr.2, 17268 Fieth-Stegelitz",53.156335,13.815513,"13/09/17","14:46:00",21,"14/09/17","13:30:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"73","","B","Hauptstr. 1, 16248 Hohenfinow",52.814205,13.924277,"13/09/17","10:00:00",5,"14/09/17","11:00:00",0,0,NA,"","Lukas, Lina, Saskia",FALSE
"74","","D","Molkenberg 23, 15517 Fürstenwalde",52.405536,14.055816,"13/09/17","16:00:00",13,"14/09/17","13:30:00",0,0,NA,"","Robin, Sascha, Cem",FALSE
"75","","D","Molkenberg 12, 15517 Fürstenwalde",52.401548,14.066519,"13/09/17","15:30:00",27,"14/09/17","12:40:00",0,0,NA,"","Robin, Sascha, Cem",FALSE
"76","","D","Eberswalderstr. 158A Mönchenberg",52.525395,14.094355,"13/09/17","14:45:00",24,"14/09/17","??",0,0,NA,"","Robin, Sascha, Cem",FALSE
"77","","D","Münchenhofstr. 1",52.4978,13.6761,"13/09/17","12:00:00",12,"14/09/17","11:00:00",0,0,NA,"","Robin, Sascha, Cem",FALSE
"78","","D","15377 Oberbarnim Ernsthoff",52.604505,14.022063,"13/09/17","18:00:00",13,"14/09/17","16:30:00",0,0,NA,"","Robin, Sascha, Cem",FALSE
"79","JOACHIM3","A","Joachimshof 3",53.12478,13.459395,"13/09/17","17:30:00",24,"14/09/17","17:30:00",5,5,NA,"","Erik, Anna",TRUE
"80","","A","Lychenerstr. 28 17268 Templin",53.127386,13.486372,"13/09/17","18:00:00",17,"14/09/17","18:00:00",2,2,NA,"","Erik, Anna",TRUE
"81","","F","Bahnhofstr. 8",51.913195,14.12655,"13/09/17","16:00:00",13,"14/09/17","09:40:00",0,0,NA,"","Emanuel, Sven",FALSE
"82","","F","Waldstr. 1",51.974531,14.054357,"13/09/17","18:30:00",30,"14/09/17","11:00:00",2,1,NA,"","Emanuel, Sven",TRUE
"83","","D","Haus am See 23, Briesensee",51.960206,14.01867,"13/09/17","17:30:00",49,"14/09/17","10:30:00",8,2,NA,"","Emanuel, Sven",TRUE
"84","STORK84","A","Dorfstraße 84, Storkow",53.049615,13.440793,"13/09/17","14:00:00",25,"14/09/17","12:00:00",17,17,NA,"","Erik, Anna",TRUE
"85","DORETTENHOF","A","Gut Dorettenhof 23",53.111991,13.462134,"13/09/17","17:00:00",40,"14/09/17","13:30:00",3,3,NA,"","Erik, Anna",TRUE
"86","GROSSV1","A","Feriendorf Groß Väter See",53.005087,13.560222,"13/09/17","12:45:00",22,"14/09/17","11:00:00",4,0,NA,"","Erik, Anna",FALSE
"87","","A","",53.115344,13.478184,"13/09/17","16:00:00",30,"14/09/17","13:00:00",4,4,NA,"","Erik, Anna",TRUE
"88","DANE22","C","Danewitz Dorfstr.",52.73388,13.666388,"13/09/17","10:30:00",10,"14/09/17","12:00:00",0,0,NA,"","Gregor, Svea",FALSE
"89","","C","Grüntal 3, Biesentahaler Str. 1",52.750762,13.685143,"13/09/17","11:10:00",20,"14/09/17","11:30:00",4,0,NA,"","Gregor, Svea",FALSE
"90","","C","Weesow, Siedlungstr. 4",52.653134,13.731734,"13/09/17","12:00:00",7,"14/09/17","10:45:00",3,0,NA,"","Gregor, Svea",FALSE
"91","","A","Ringenwalderstr. 31",53.033482,13.711559,"14/09/17","16:16:00",39,"15/09/17","16:25:00",1,0,NA,"","Lukas, Sascha",FALSE
"92","","A","Templinerstr. 22",53.060033,13.71412,"14/09/17","16:30:00",8,"15/09/17","16:25:00",0,0,NA,"","Lukas, Sascha",FALSE
"93","","B","Ackerstr. 4 Flieth-Stegelitz",53.160968,13.809477,"14/09/17","14:40:00",8,"15/09/17","11:35:00",0,0,NA,"","Lina, Saskia",FALSE
"94","","C","Ernsthof Mittelstr. 2 ",52.601445,14.02333,"13/09/17","14:15:00",10,"14/09/17","13:45:00",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
"95","","C","Hauptstr. 58, 15345 Harnekop",52.682556,14.007385,"13/09/17","??",18,"14/09/17","10:15:00",1,1,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"96","","C","Alt-Ruhlsdorf 14, 15344 Straußberg",52.569492,13.99056,"13/09/17","14:30:00",28,"14/09/17","12:30:00",1,1,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"97","","C","Birkenweg 16, 16259 Dannenberg",52.771519,13.957859,"14/09/17","11:00:00",30,"15/09/17","11:00:00",3,3,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"98","","C","Lychenerstr. 28 17268 Templin",53.127386,13.486372,"14/09/17","17:30:00",40,"15/09/17","12:30:00",9,9,NA,"","Lukas, Sascha",TRUE
"99","","C","Alte Heerstrs. 29",52.7667,14.0817,"13/09/17","12:00:00",10,"14/09/17","15:37:00",1,1,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"100","","D","Neuhagener Chaussee Schönheide bei Berlin",52.484796,13.693432,"14/09/17","11:30:00",15,"15/09/17","12:00:00",0,0,NA,"","Robin, Cem, Sükrü",FALSE
"101","","E","Berghof 2, 15859 Reiplos",52.276343,13.897624,"14/09/17","13:15:00",23,"15/09/17","11:15:00",18,17,NA,"","Yasmin, Mert",TRUE
"102","","C","Eberswalder Str. 23",52.746462,13.85192,"10/09/17","16:30:00",5,"11/09/17","16:00:00",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
"103","","E","Dorfstraße 25, 15895 Schwenn",52.191564,13.878763,"14/09/17","17:55:00",24,"15/09/17","13:00:00",0,0,NA,"","Yasmin, Mert",FALSE
"104","","E","Selchowerstr. 4A 15754 Heidesee",52.205485,13.842119,"14/09/17","15:00:00",12,"15/09/17","12:15:00",0,0,NA,"","Yasmin, Mert",FALSE
"105","","E","Seeweg 6, 15859 Storkow",52.209057,13.876947,"14/09/17","18:30:00",10,"15/09/17","12:22:00",0,0,NA,"","Yasmin, Mert",FALSE
"106","","F","Rocher Nr. 3, 15848",52.088692,14.139438,"14/09/17","??",16,"15/09/17","??",0,0,NA,"","Emanuel, Tabea",FALSE
"107","","F","Dorfstraße 37, 15913 Schwielochsee",52.041125,14.181527,"14/09/17","??",18,"15/09/17","??",0,0,NA,"","Emanuel, Tabea",FALSE
"108","","F","Beeskowerstr. 6",52.089399,14.173623,"14/09/17","??",28,"15/09/17","??",5,5,NA,"","Emanuel, Tabea",TRUE
"109","","F","Guhlerdorfstraße 29, 15913 Schwielochsee",52.01705,14.144171,"14/09/17","??",33,"15/09/17","??",10,10,NA,"","Emanuel, Tabea",TRUE
"110","","F","Sawaller Dorfstr. 10, 15848 Trabatsch",52.074772,14.180929,"14/09/17","??",25,"15/09/17","??",15,15,NA,"","Emanuel, Tabea",TRUE
"111","","C","Kleinbarnim 25, 15320 Altbarnim",52.681686,14.273052,"16/09/17","??",10,"15/09/17","??",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
"112","","F","Limsdorfer Dorfstr. 8",52.158247,14.020282,"15/09/17","??",23,"16/09/17","??",0,0,NA,"","Emanuel, Sven",FALSE
"113","","F","Lindenstr. 19",52.173734,14.075887,"15/09/17","??",24,"16/09/17","??",1,1,NA,"","Emanuel, Sven",TRUE
"114","","F","Wuggelmühle",52.087884,14.26037,"15/09/17","13:30:00",38,"16/09/17","13:00:00",9,9,NA,"","Lina, Erik, Anna",TRUE
"115","SCHADOW5","F","Dorfstr. 5 Schadow",52.043945,14.270012,"15/09/17","14:45:00",20,"16/09/17","16:00:00",4,4,NA,"","Lina, Erik, Anna",TRUE
"116","","F","Niewisch 6, 15848 Friedland",52.075919,14.22802,"15/09/17","14:19:00",30,"16/09/17","14:30:00",0,0,NA,"","Lina, Erik, Anna",FALSE
"117","","F","Niewisch 25, 15848 Fried",52.075081,14.227153,"15/09/17","15:20:00",29,"16/09/17","15:00:00",1,1,NA,"","Lina, Erik, Anna",TRUE
"118","","C","Großbarnim 7, 15320",52.68668,14.277127,"15/09/17","12:00:00",40,"16/09/17","10:40:00",10,10,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"119","","B","Staffelde",52.729722,12.9925,"15/09/17","14:00:00",12,"16/09/17","11:00:00",4,0,NA,"","Gregor, Svea",FALSE
"120","","D","Pappelweg 5, Münchhofe",52.493842,13.669139,"15/09/17","13:00:00",20,"16/09/17","13:00:00",9,8,NA,"","Sükrü, Robin",TRUE
"121","","A","Dorfstr. 28, Wichmannsdorf 17268",53.237406,13.64217,"15/09/17","14:37:00",24,"16/09/17","17:13:00",3,2,NA,"","Sascha, Lukas",TRUE
"122","","B","Lindener Weg 95 a, Beetz",52.8192,13.0208,"15/09/17","12:50:00",25,"16/09/17","11:45:00",3,3,NA,"","Gregor, Svea",TRUE
"123","","A","Pappelwerder 1",53.2108,13.6506,"15/09/17","15:15:00",20,"16/09/17","17:30:00",6,5,NA,"","Sascha, Lukas",TRUE
"124","","C","Wriezenerstr. 38, 15324 Letschin",52.650636,14.321503,"15/09/17","15:00:00",19,"16/09/17","12:15:00",3,3,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"125","","C","Kleinbarnim 28, 15320 Alt-Barnim",52.682237,14.272369,"15/09/17","13:00:00",34,"16/09/17","11:17:00",4,4,NA,"","Julia, Sabrina, Nico, Tabea",TRUE
"126","","D","Neuhagener Chaussee Schönheide bei Berlin",52.484796,13.693432,"15/09/17","12:00:00",12,"16/09/17","18:00:00",0,0,NA,"","Sükrü, Robin",FALSE
"127","","D","Waldkante Altlandsberg",52.569376,13.761209,"15/09/17","13:24:00",24,"16/09/17","17:00:00",0,0,NA,"","Sükrü, Robin",FALSE
"128","","D","",52.636319,13.634449,"15/09/17","17:00:00",26,"16/09/17","??",0,0,NA,"","Sükrü, Robin",FALSE
"129","","B","Beetzer Dorfstr. 125",52.81361,13.0161,"15/09/17","12:00:00",14,"16/09/17","12:30:00",0,0,NA,"","Gregor, Svea",FALSE
"130","","C","Sonnenallee 1, 16259 Hohenland Wolsichendorf",52.735889,13.934092,"16/09/17","18:23:00",19,"17/09/17","09:45:00",1,0,NA,"","Nico, Emanuel",FALSE
"131","","A","Schloss und Gut Liebenberg, Parkweg 1",52.895058,13.259343,"16/09/17","15:53:00",19,"17/09/17","11:55:00",1,0,NA,"","Lukas, Sascha",FALSE
"132","","A","Alte Dorfstraße 2",53.042812,13.17139,"16/09/17","13:43:00",33,"17/09/17","13:45:00",9,0,NA,"","Lukas, Sascha",FALSE
"133","","D","Pappelweg 3 / 4",52.493864,13.670403,"16/09/17","13:00:00",39,"17/09/17","13:00:00",1,0,NA,"","Robin, Cem, Sükrü",FALSE
"134","","A","Mildenbergerstr. 1 16792 Zehdenick",52.9936,13.3047,"16/09/17","12:00:00",25,"17/09/17","13:45:00",4,4,NA,"","Lukas, Sascha",TRUE
"135","","C","Dorfstraße 11, 16259 Gersdorf",52.771897,13.892763,"16/09/17","17:23:00",43,"17/09/17","10:30:00",2,0,NA,"","Nico, Emanuel",FALSE
"136","","C","Alt-Barnim Großbarnim 20",52.676301,14.286033,"16/09/17","12:00:00",24,"17/09/17","11:30:00",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
"137","","C","Neufriedland 16, 15320 Neufriedland",52.644218,14.231345,"16/09/17","12:40:00",15,"17/09/17","12:05:00",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
"138","","C","Am Alten Kanal 2, 16269 Bliesdorf",52.693382,14.165996,"16/09/17","13:10:00",28,"17/09/17","11:45:00",0,0,NA,"","Julia, Sabrina, Nico, Tabea",FALSE
