<<<<<<< HEAD
"Mouse_ID","delta_ct_cewe_MminusE","delta_ct_ilwe_MminusE","observer_qpcr","Year"
"AA_0237",-4.82,NA,"Lorenzo",2017
"AA_0243",-2.375,NA,"Lorenzo",2017
"AA_0244",-2.6,8.65,"Lorenzo",2017
"AA_0245",-1.75,3.7,"Lorenzo",2017
"AA_0246",NA,10.73,"Lorenzo",2017
"AA_0247",NA,8.97,"Lorenzo",2017
"AA_0248",NA,9.47,"Lorenzo",2017
"AA_0249",NA,6.6,"Lorenzo",2017
"AA_0250",-5.87,8.97,"Lorenzo",2017
"AA_0255",-5.57,NA,"Lorenzo",2017
"AA_0257",-1.61,NA,"Lorenzo",2017
"AA_0259",-4.55,NA,"Lorenzo",2017
"AA_0261",-4.21,NA,"Lorenzo",2017
"AA_0296",-3.435,NA,"Lorenzo",2017
"AA_0298",-4.73,NA,"Lorenzo",2017
"AA_0301",-0.360000000000001,NA,"Lorenzo",2017
"AA_0303",-2.07,NA,"Lorenzo",2017
"AA_0309",NA,2.54,"Lorenzo",2017
"AA_0314",-2.82,NA,"Lorenzo",2017
"AA_0316",-3.06,NA,"Lorenzo",2017
"AA_0323",2.61,NA,"Lorenzo",2017
"AA_0343",-3.58,NA,"Lorenzo",2017
"AA_0348",-4.945,NA,"Lorenzo",2017
"AA_0351",-3.35,NA,"Lorenzo",2017
"AA_0352",NA,-5.96,"Lorenzo",2017
"AA_0366",NA,-4.9,"Lorenzo",2017
"AA_0368",-1.12,NA,"Lorenzo",2017
"AA_0373",-5.15,NA,"Lorenzo",2017
"AA_0390",-2.25,NA,"Lorenzo",2017
"AA_0393",1.35,NA,"Lorenzo",2017
"AA_0396",-4.79,NA,"Lorenzo",2017
"AA_0397",-2.355,NA,"Lorenzo",2017
"AA_0406",-0.959999999999997,NA,"Lorenzo",2017
"AA_0413",-2.85,NA,"Lorenzo",2017
"AA_0423",3.01,NA,"Lorenzo",2017
"AA_0424",4.76,NA,"Lorenzo",2017
"AA_0425",0.44,NA,"Lorenzo",2017
"AA_0427",0.83,NA,"Lorenzo",2017
"AA_0428",-1.13,NA,"Lorenzo",2017
"AA_0429",3.77,NA,"Lorenzo",2017
"AA_0430",-4.9,NA,"Lorenzo",2017
"AA_0431",-1.86,NA,"Lorenzo",2017
"AA_0432",4.01,NA,"Lorenzo",2017
"AA_0434",0.25,NA,"Lorenzo",2017
"AA_0435",1.5,NA,"Lorenzo",2017
"AA_0436",-1.175,-2.64,"Lorenzo",2017
"AA_0441",-5.68,NA,"Lorenzo",2017
"AA_0445",-3.17,NA,"Lorenzo",2017
"AA_0446",-3.53,NA,"Lorenzo",2017
"AA_0451",NA,5.02,"Lorenzo",2017
"AA_0452",-3.22,NA,"Lorenzo",2017
"AA_0454",1.33,NA,"Lorenzo",2017
"AA_0455",NA,-5.19,"Lorenzo",2017
"AA_0458",0.350000000000001,NA,"Lorenzo",2017
"AA_0465",-2.84,NA,"Lorenzo",2017
"AA_0469",-5,-5.54,"Lorenzo",2017
"AA_0497",-0.18,-3.64,"Lorenzo",2017
=======
"Mouse_ID","delta_ct_cewe","delta_ct_ilwe","observer_qpcr"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0277",11.91,14.73,"Lorenzo"
"AA_0277",11.91,15.27,"Lorenzo"
"AA_0277",11.91,12.03,"Lorenzo"
"AA_0277",13.19,14.73,"Lorenzo"
"AA_0277",13.19,15.27,"Lorenzo"
"AA_0277",13.19,12.03,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,12.47,"Lorenzo"
"AA_0278",13.01,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,12.47,"Lorenzo"
"AA_0278",10.87,11.26,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,12.47,"Lorenzo"
"AA_0278",10.44,11.26,"Lorenzo"
"AA_0279",11.74,10.94,"Lorenzo"
"AA_0279",12.16,10.94,"Lorenzo"
"AA_0279",12.86,10.94,"Lorenzo"
"AA_0279",11.74,10.94,"Lorenzo"
"AA_0279",12.16,10.94,"Lorenzo"
"AA_0279",12.16,10.94,"Lorenzo"
"AA_0279",12.86,10.94,"Lorenzo"
"AA_0279",12.86,10.94,"Lorenzo"
"AA_0279",12.86,10.94,"Lorenzo"
"AA_0279",11.74,10.94,"Lorenzo"
"AA_0279",11.74,10.94,"Lorenzo"
"AA_0279",12.16,10.94,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",11.42,13.29,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",11.42,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,13.29,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",12.26,11.51,"Lorenzo"
"AA_0280",13.53,13.29,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0280",13.53,11.51,"Lorenzo"
"AA_0281",9.6,18.13,"Lorenzo"
"AA_0281",9.6,13.32,"Lorenzo"
"AA_0281",10.4,18.13,"Lorenzo"
"AA_0281",10.4,13.32,"Lorenzo"
"AA_0281",10.4,18.13,"Lorenzo"
"AA_0281",10.4,13.32,"Lorenzo"
"AA_0281",11.85,18.13,"Lorenzo"
"AA_0281",11.85,13.32,"Lorenzo"
"AA_0281",11.85,18.13,"Lorenzo"
"AA_0281",11.85,13.32,"Lorenzo"
"AA_0281",9.6,18.13,"Lorenzo"
"AA_0281",9.6,13.32,"Lorenzo"
"AA_0281",9.6,18.13,"Lorenzo"
"AA_0281",9.6,13.32,"Lorenzo"
"AA_0281",11.85,18.13,"Lorenzo"
"AA_0281",11.85,13.32,"Lorenzo"
"AA_0281",10.4,18.13,"Lorenzo"
"AA_0281",10.4,13.32,"Lorenzo"
"AA_0281",10.4,18.13,"Lorenzo"
"AA_0281",10.4,13.32,"Lorenzo"
"AA_0281",10.4,18.13,"Lorenzo"
"AA_0281",10.4,13.32,"Lorenzo"
"AA_0281",9.6,18.13,"Lorenzo"
"AA_0281",9.6,13.32,"Lorenzo"
"AA_0281",11.85,18.13,"Lorenzo"
"AA_0281",11.85,13.32,"Lorenzo"
"AA_0281",9.6,18.13,"Lorenzo"
"AA_0281",9.6,13.32,"Lorenzo"
"AA_0281",11.85,18.13,"Lorenzo"
"AA_0281",11.85,13.32,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,12.96,"Lorenzo"
"AA_0282",11.07,14.11,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.07,11.83,"Lorenzo"
"AA_0282",11.71,12.96,"Lorenzo"
"AA_0282",11.71,14.11,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.71,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,12.96,"Lorenzo"
"AA_0282",11.21,14.11,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0282",11.21,11.83,"Lorenzo"
"AA_0286",14.1,NA,"Lorenzo"
"AA_0288",13.59,11.42,"Lorenzo"
"AA_0288",13.59,11.42,"Lorenzo"
"AA_0289",10.99,NA,"Lorenzo"
"AA_0289",13.03,NA,"Lorenzo"
"AA_0289",10.99,NA,"Lorenzo"
"AA_0289",13.03,NA,"Lorenzo"
"AA_0290",14.39,NA,"Lorenzo"
"AA_0294",NA,12.95,"Lorenzo"
"AA_0296",2.61,NA,"Lorenzo"
"AA_0298",4.73,NA,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0301",10.49,11.48,"Lorenzo"
"AA_0302",NA,11.18,"Lorenzo"
"AA_0303",NA,12.55,"Lorenzo"
"AA_0309",NA,15.46,"Lorenzo"
"AA_0310",NA,14.4,"Lorenzo"
"AA_0310",NA,11.03,"Lorenzo"
"AA_0310",NA,14.4,"Lorenzo"
"AA_0310",NA,11.03,"Lorenzo"
"AA_0311",NA,15.48,"Lorenzo"
"AA_0313",NA,17.9,"Lorenzo"
"AA_0314",2.82,NA,"Lorenzo"
"AA_0315",NA,14.8,"Lorenzo"
"AA_0316",3.06,6.59,"Lorenzo"
"AA_0316",3.06,6.59,"Lorenzo"
"AA_0317",6.98,NA,"Lorenzo"
"AA_0319",7.82,NA,"Lorenzo"
"AA_0320",11.29,NA,"Lorenzo"
"AA_0321",NA,10.05,"Lorenzo"
"AA_0322",NA,13.34,"Lorenzo"
"AA_0323",9.82,17.93,"Lorenzo"
"AA_0323",9.82,17.93,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0324",10.99,14.35,"Lorenzo"
"AA_0326",10.93,12.87,"Lorenzo"
"AA_0326",10.93,13.07,"Lorenzo"
"AA_0326",10.93,12.87,"Lorenzo"
"AA_0326",10.93,13.07,"Lorenzo"
"AA_0326",10.93,12.87,"Lorenzo"
"AA_0326",10.93,13.07,"Lorenzo"
"AA_0327",13.61,13.78,"Lorenzo"
"AA_0327",13.61,13.78,"Lorenzo"
"AA_0328",7.13,12.17,"Lorenzo"
"AA_0328",7.13,12.17,"Lorenzo"
